country,men_singles,women_singles,total_entries,lat,lon,dest_city,dest_lat,dest_lon
United States,11,19,30,39.7837,-100.4459,Melbourne,-37.8136,144.9631
Australia,13,6,19,-25.2744,133.7751,Melbourne,-37.8136,144.9631
France,13,5,18,46.2276,2.2137,Melbourne,-37.8136,144.9631
Italy,9,3,12,41.8719,12.5674,Melbourne,-37.8136,144.9631
Spain,7,4,11,40.4637,-3.7492,Melbourne,-37.8136,144.9631
China,3,7,10,35.8617,104.1954,Melbourne,-37.8136,144.9631
Czech Republic,3,7,10,49.8175,15.4730,Melbourne,-37.8136,144.9631
Argentina,7,2,9,-38.4161,-63.6167,Melbourne,-37.8136,144.9631
Germany,4,3,7,51.1657,10.4515,Melbourne,-37.8136,144.9631
Great Britain,3,4,7,55.3781,-3.4360,Melbourne,-37.8136,144.9631
Canada,3,2,5,56.1304,-106.3468,Melbourne,-37.8136,144.9631
Japan,3,2,5,36.2048,138.2529,Melbourne,-37.8136,144.9631
Ukraine,0,5,5,48.3794,31.1656,Melbourne,-37.8136,144.9631
Belgium,2,2,4,50.5039,4.4699,Melbourne,-37.8136,144.9631
Kazakhstan,2,2,4,48.0196,66.9237,Melbourne,-37.8136,144.9631
Poland,1,3,4,51.9194,19.1451,Melbourne,-37.8136,144.9631
Serbia,3,1,4,44.0165,21.0059,Melbourne,-37.8136,144.9631
Denmark,1,2,3,56.2639,9.5018,Melbourne,-37.8136,144.9631
Netherlands,1,2,3,52.1326,5.2913,Melbourne,-37.8136,144.9631
Romania,0,3,3,45.9432,24.9668,Melbourne,-37.8136,144.9631
Switzerland,2,1,3,46.8182,8.2275,Melbourne,-37.8136,144.9631
Austria,1,1,2,47.5162,14.5501,Melbourne,-37.8136,144.9631
Brazil,1,1,2,-14.2350,-51.9253,Melbourne,-37.8136,144.9631
Bulgaria,1,1,2,42.7339,25.4858,Melbourne,-37.8136,144.9631
Chile,2,0,2,-35.6751,-71.5430,Melbourne,-37.8136,144.9631
Croatia,1,1,2,45.1000,15.2000,Melbourne,-37.8136,144.9631
Finland,2,0,2,61.9241,25.7482,Melbourne,-37.8136,144.9631
Greece,1,1,2,39.0742,21.8243,Melbourne,-37.8136,144.9631
Hungary,1,1,2,47.1625,19.5033,Melbourne,-37.8136,144.9631
Armenia,0,1,1,40.0691,45.0382,Melbourne,-37.8136,144.9631
Bosnia and Herzegovina,1,0,1,43.9159,17.6791,Melbourne,-37.8136,144.9631
Colombia,0,1,1,4.5709,-74.2973,Melbourne,-37.8136,144.9631
Egypt,0,1,1,26.8206,30.8025,Melbourne,-37.8136,144.9631
India,1,0,1,20.5937,78.9629,Melbourne,-37.8136,144.9631
Latvia,0,1,1,56.8796,24.6032,Melbourne,-37.8136,144.9631
Mexico,0,1,1,23.6345,-102.5528,Melbourne,-37.8136,144.9631
Montenegro,0,1,1,42.7087,19.3744,Melbourne,-37.8136,144.9631
New Zealand,0,1,1,-40.9006,174.8860,Melbourne,-37.8136,144.9631
Norway,1,0,1,60.4720,8.4689,Melbourne,-37.8136,144.9631
Portugal,1,0,1,39.3999,-8.2245,Melbourne,-37.8136,144.9631
Slovakia,0,1,1,48.6690,19.6990,Melbourne,-37.8136,144.9631
Thailand,1,0,1,15.8700,100.9925,Melbourne,-37.8136,144.9631
Tunisia,0,1,1,33.8869,9.5375,Melbourne,-37.8136,144.9631
Turkey,0,1,1,38.9637,35.2433,Melbourne,-37.8136,144.9631