country,period,titles
Australia,1900–1919,9
Australia,1920–1939,17
Australia,1940–1959,19
Australia,1960–1979,20
Australia,1980–1999,5
Australia,2000–2019,3
Australia,2020–2026,1
United States,1900–1919,0
United States,1920–1939,1
United States,1940–1959,5
United States,1960–1979,6
United States,1980–1999,16
United States,2000–2019,11
United States,2020–2026,2
Serbia,1900–1919,0
Serbia,1920–1939,0
Serbia,1940–1959,0
Serbia,1960–1979,0
Serbia,1980–1999,0
Serbia,2000–2019,7
Serbia,2020–2026,2
Switzerland,1900–1919,0
Switzerland,1920–1939,0
Switzerland,1940–1959,0
Switzerland,1960–1979,0
Switzerland,1980–1999,0
Switzerland,2000–2019,8
Switzerland,2020–2026,0
Sweden,1900–1919,0
Sweden,1920–1939,0
Sweden,1940–1959,0
Sweden,1960–1979,1
Sweden,1980–1999,5
Sweden,2000–2019,0
Sweden,2020–2026,0
Germany,1900–1919,0
Germany,1920–1939,0
Germany,1940–1959,0
Germany,1960–1979,0
Germany,1980–1999,5
Germany,2000–2019,0
Germany,2020–2026,0
Czech Republic,1900–1919,0
Czech Republic,1920–1939,0
Czech Republic,1940–1959,0
Czech Republic,1960–1979,0
Czech Republic,1980–1999,3
Czech Republic,2000–2019,2
Czech Republic,2020–2026,0
Belarus,1900–1919,0
Belarus,1920–1939,0
Belarus,1940–1959,0
Belarus,1960–1979,0
Belarus,1980–1999,0
Belarus,2000–2019,2
Belarus,2020–2026,2
Great Britain,1900–1919,4
Great Britain,1920–1939,1
Great Britain,1940–1959,0
Great Britain,1960–1979,1
Great Britain,1980–1999,0
Great Britain,2000–2019,1
Great Britain,2020–2026,0
Italy,1900–1919,0
Italy,1920–1939,0
Italy,1940–1959,0
Italy,1960–1979,0
Italy,1980–1999,0
Italy,2000–2019,0
Italy,2020–2026,2